Building Type,Square Footage,Number of Occupants,Appliances Used,Average Temperature,Day of Week,Actual Energy Consumption,Predicted Energy Consumption,Prediction Error
Residential,25019,19,35,28.29,Weekday,3549.48,3549.4996991712815,-0.01969917128144516
Commercial,45423,22,2,16.32,Weekend,4449.57,4449.549435564026,0.02056443597393809
Industrial,45359,75,35,26.86,Weekday,6133.65,6133.650007388759,-7.388759513560217e-06
Commercial,1322,81,2,15.38,Weekend,2839.18,2839.20056755456,-0.02056755456032988
Residential,32153,75,24,33.11,Weekend,4172.08,4172.097915400004,-0.017915400004312687
Residential,29125,57,7,16.94,Weekday,3631.54,3631.550661109055,-0.010661109055035922
Commercial,46697,70,7,25.71,Weekday,5096.3,5096.299645997242,0.0003540027582857874
Commercial,36112,17,42,28.54,Weekday,4722.9,4722.899865245154,0.00013475484593072906
Industrial,11116,64,17,30.65,Weekday,3932.56,3932.549888449182,0.0101115508177827
Industrial,24252,36,45,22.91,Weekday,4908.05,4908.0508880335965,-0.0008880335963112884
Commercial,27237,39,41,15.33,Weekend,4495.21,4495.200543040857,0.009456959142880805
Residential,42188,64,43,24.21,Weekday,5038.34,5038.350132767326,-0.010132767325558234
Commercial,5584,21,9,29.51,Weekend,2521.63,2521.6487278997993,-0.018727899799159786
Industrial,27416,25,37,15.11,Weekend,4785.27,4785.250486058744,0.019513941256263934
Industrial,26022,24,21,29.31,Weekend,4314.56,4314.548591497558,0.011408502442463941
Commercial,6859,25,47,25.8,Weekend,3403.93,3403.9497338419014,-0.01973384190159777
Industrial,10861,14,36,18.67,Weekend,3809.69,3809.700323235125,-0.010323235124815255
Residential,35988,57,47,17.34,Weekend,4722.68,4722.699992241475,-0.019992241474938055
Industrial,7140,65,11,13.97,Weekday,3707.17,3707.151840205239,0.01815979476123175
Industrial,20549,68,4,24.59,Weekend,4164.5,4164.49913866812,0.0008613318796051317
Residential,8348,67,37,16.48,Weekend,3244.98,3245.000490562149,-0.02049056214900702
Industrial,26463,57,21,31.59,Weekend,4655.22,4655.198425499689,0.021574500311544398
Industrial,38758,7,41,10.05,Weekday,5327.65,5327.651974401904,-0.001974401904590195
Commercial,36322,8,25,27.52,Weekend,4258.49,4258.498588978402,-0.008588978402258363
Commercial,11206,72,24,14.25,Weekend,3689.04,3689.0508212969003,-0.010821296900303423
Commercial,22020,43,4,28.28,Weekday,3519.59,3519.5996671382127,-0.009667138212535065
Industrial,25791,84,45,14.96,Weekend,5454.74,5454.750854274098,-0.010854274098164751
Residential,15817,85,47,25.14,Weekend,3955.17,3955.149543553865,0.02045644613508557
Residential,7222,44,39,34.91,Weekend,2906.57,2906.5482928808015,0.021707119198708824
Residential,34036,35,43,16.24,Weekend,4330.61,4330.600023393502,0.009976606497730245
Residential,38743,65,23,10.2,Weekday,4546.15,4546.1515466234,-0.0015466233999177348
Residential,6654,21,24,15.0,Weekday,2497.72,2497.7014470965123,0.018552903487488948
Commercial,6288,33,20,25.24,Weekday,2968.2,2968.2005291548917,-0.0005291548918648914
Residential,38658,55,45,23.86,Weekday,4813.61,4813.6002401102705,0.009759889729139104
Commercial,35546,52,4,26.35,Weekend,4245.53,4245.548569201167,-0.01856920116733818
Industrial,31178,68,8,32.25,Weekday,4787.64,4787.649201838782,-0.009201838781336846
Commercial,5353,20,18,32.04,Weekend,2667.44,2667.4485678560077,-0.008567856007630326
Industrial,32085,38,31,16.0,Weekday,5074.24,5074.251349548233,-0.011349548232828965
Residential,25361,77,26,24.09,Weekend,3937.59,3937.599142290772,-0.00914229077170603
Industrial,19529,85,19,28.85,Weekday,4612.22,4612.200044644874,0.019955355126512586
Commercial,10896,71,17,16.99,Weekend,3509.87,3509.8503941536346,0.01960584636526619
Industrial,18102,21,35,31.59,Weekday,4207.14,4207.149777097135,-0.009777097134247015
Commercial,24321,78,17,34.79,Weekday,4212.08,4212.099172783949,-0.019172783949215955
Residential,44960,10,35,29.67,Weekday,4449.66,4449.649134202732,0.010865797267797461
Residential,17934,70,44,27.56,Weekday,3888.89,3888.9002259689587,-0.010225968958820886
Industrial,42346,20,37,33.31,Weekend,5390.76,5390.748045901649,0.011954098351452558
Industrial,29029,82,30,21.74,Weekend,5262.76,5262.749759561842,0.010240438157779863
Industrial,23616,86,33,18.76,Weekend,5107.0,5107.000270904073,-0.00027090407274954487
Industrial,44909,4,4,22.06,Weekday,4805.17,4805.149870387135,0.020129612865275703
Commercial,26643,49,12,25.27,Weekday,3985.8,3985.800077664394,-7.766439375700429e-05
Industrial,46148,30,39,33.84,Weekend,5718.21,5718.197976588986,0.01202341101361526
Industrial,42398,44,22,30.32,Weekend,5348.31,5348.298249363665,0.011750636335818854
Residential,29552,42,38,25.04,Weekday,4082.39,4082.40012060197,-0.010120601969902054
Industrial,2242,9,37,11.08,Weekend,3386.72,3386.7013769335913,0.01862306640850875
Commercial,42399,58,35,13.49,Weekend,5332.5,5332.500449380331,-0.0004493803307923372
Residential,1026,90,49,11.14,Weekend,3375.62,3375.601516650554,0.018483349445887143
Industrial,14635,19,27,12.28,Weekend,3900.33,3900.3508854897436,-0.020885489743704966
Industrial,16376,7,7,27.65,Weekend,3390.53,3390.5486966242847,-0.018696624284530117
Commercial,23411,98,23,20.5,Weekday,4558.07,4558.051032412141,0.018967587859151536
Residential,20603,98,36,29.52,Weekend,4082.56,4082.5488141547526,0.011185845247382531
Residential,32847,34,35,19.28,Weekend,4085.95,4085.9495620597963,0.0004379402034828672
Residential,45141,36,46,31.53,Weekend,4879.42,4879.3980634200225,0.021936579977591464
Residential,7505,70,41,19.04,Weekday,3350.06,3350.0513788853295,0.008621114670404495
Industrial,30475,92,3,13.61,Weekend,4935.7,4935.700312805742,-0.0003128057423964492
Commercial,4518,85,27,15.09,Weekend,3540.45,3540.4509365157382,-0.0009365157384308986
Commercial,25360,34,26,14.98,Weekday,4103.09,4103.101477152002,-0.011477152002044022
Residential,3880,45,3,24.75,Weekday,2130.26,2130.2501105229535,0.009889477046726824
Residential,14419,68,44,23.95,Weekend,3661.21,3661.1996070188807,0.010392981119366596
Industrial,37719,16,20,23.97,Weekday,4876.08,4876.100063627867,-0.020063627866875322
Industrial,49997,15,22,26.78,Weekday,5505.97,5505.9495304989,0.02046950110070611
Industrial,43501,83,31,26.67,Weekday,6041.7,6041.700030380965,-3.0380964744836092e-05
Industrial,29269,35,19,18.63,Weekend,4600.3,4600.299795977306,0.0002040226945609902
Industrial,41238,22,7,31.95,Weekday,4812.15,4812.1488796262665,0.0011203737331015873
Residential,11844,2,22,20.11,Weekend,2451.63,2451.6495504966397,-0.019550496639567427
Industrial,45162,85,45,12.92,Weekday,6493.48,6493.50183981296,-0.021839812960024574
Commercial,44981,81,20,27.82,Weekday,5369.95,5369.9496644471765,0.00033555282334418735
Residential,17225,6,9,30.23,Weekday,2500.08,2500.099176076129,-0.019176076129042485
Commercial,26111,26,49,15.85,Weekday,4516.31,4516.301684225973,0.008315774027323641
Residential,33630,96,32,32.11,Weekend,4620.93,4620.948198179367,-0.01819817936666368
Industrial,31773,60,19,26.02,Weekday,4988.57,4988.550065646643,0.019934353356802603
Industrial,47795,9,15,34.61,Weekday,5156.72,5156.698522028306,0.021477971694366715
Residential,22542,58,47,32.58,Weekend,3984.2,3984.1984505582896,0.0015494417102672742
Residential,9610,66,1,20.77,Weekend,2556.63,2556.6494094922346,-0.01940949223444477
Commercial,22026,70,12,21.58,Weekend,3933.39,3933.3995660096316,-0.009566009631726047
Industrial,41631,13,6,29.32,Weekend,4684.93,4684.948033500041,-0.018033500040473882
Residential,11182,13,45,12.11,Weekend,3028.56,3028.5508930739707,0.009106926029289752
Commercial,12245,85,4,22.85,Weekend,3428.02,3427.999527361678,0.020472638322189596
Industrial,40863,47,1,17.61,Weekend,4945.09,4945.09946586536,-0.009465865359743475
Residential,47324,30,32,25.49,Weekend,4678.75,4678.748500949319,0.001499050680649816
Residential,4256,44,9,21.22,Weekday,2276.7,2276.7006075701743,-0.0006075701744521211
Industrial,27920,28,1,20.84,Weekday,4141.78,4141.800366115753,-0.020366115752949554
Commercial,35411,67,23,30.46,Weekday,4798.25,4798.249530575082,0.0004694249182648491
Industrial,7559,27,44,10.08,Weekday,4027.56,4027.552665971093,0.0073340289068255515
Industrial,40387,31,37,20.24,Weekday,5518.13,5518.150762883576,-0.02076288357602607
Industrial,48017,1,8,32.46,Weekday,4958.57,4958.548637687907,0.021362312092605862
Commercial,10024,54,40,10.49,Weekday,3838.73,3838.752573007272,-0.02257300727205802
Commercial,18881,54,6,19.05,Weekday,3558.78,3558.800880861845,-0.020880861844943865
Commercial,32623,65,29,27.67,Weekday,4772.8,4772.799996096082,3.9039177863742225e-06
Residential,13176,2,47,11.58,Weekend,3060.91,3060.9009118302306,0.009088169769256638
Industrial,32684,99,38,34.99,Weekend,5709.26,5709.248308978305,0.011691021694787196
Industrial,34657,21,47,20.15,Weekday,5332.1,5332.100999190616,-0.0009991906154027674
Commercial,25417,49,49,22.92,Weekday,4676.25,4676.250941323179,-0.000941323179176834
Industrial,47914,47,12,33.71,Weekend,5437.17,5437.147604636927,0.02239536307297385
Commercial,2969,92,32,25.47,Weekday,3631.08,3631.100945155711,-0.020945155711160623
Commercial,25074,41,18,26.37,Weekend,3891.86,3891.8489386254078,0.011061374592372886
Commercial,17274,97,46,15.79,Weekday,4724.76,4724.752049111781,0.007950888219056651
Residential,18949,64,42,23.14,Weekend,3811.73,3811.7495740212926,-0.0195740212925557
Residential,48775,54,27,17.78,Weekday,4979.87,4979.850490155664,0.01950984433551639
Residential,34095,29,21,29.94,Weekend,3765.06,3765.0480524014633,0.011947598536607984
Residential,12222,80,35,20.16,Weekend,3510.28,3510.29999782388,-0.019997823879748466
Industrial,35301,28,45,15.43,Weekend,5367.9,5367.900433212917,-0.00043321291741449386
Industrial,7237,62,34,19.48,Weekday,4114.45,4114.45152949169,-0.0015294916902348632
Industrial,32205,21,17,15.18,Weekday,4634.34,4634.351173454837,-0.011173454837262398
Residential,43259,33,41,30.12,Weekday,4712.33,4712.349281652772,-0.019281652772406233
Commercial,20076,33,42,34.22,Weekend,4002.72,4002.698445661986,0.021554338013629604
Commercial,22063,92,8,33.62,Weekend,4015.07,4015.048159463988,0.021840536011950462
Residential,36272,93,6,32.04,Weekday,4253.4,4253.398854062307,0.0011459376928542042
Commercial,23540,80,10,15.5,Weekday,4149.49,4149.501360616992,-0.011360616992533323
Residential,31023,97,23,20.52,Weekend,4378.55,4378.549478846589,0.0005211534107729676
Residential,48903,70,22,23.91,Weekday,5015.61,5015.599742964695,0.01025703530467581
Residential,41309,55,45,15.4,Weekday,4988.44,4988.451187603904,-0.01118760390454554
Residential,19629,21,39,12.37,Weekday,3459.59,3459.601743503291,-0.011743503290745139
Residential,48785,84,6,20.48,Weekend,4796.83,4796.848849366386,-0.018849366386348265
Commercial,12036,61,47,26.75,Weekend,4018.05,4018.0496462872643,0.00035371273588680197
Residential,36624,74,30,30.45,Weekend,4518.97,4518.948233511227,0.021766488773209858
Industrial,37301,38,35,20.22,Weekday,5393.95,5393.950815873684,-0.0008158736845871317
Industrial,26349,88,46,10.79,Weekend,5563.48,5563.501363955081,-0.021363955081142194
Industrial,21453,58,6,19.1,Weekday,4227.17,4227.150868865009,0.01913113499085739
Commercial,7714,51,7,13.32,Weekday,3019.12,3019.101769637581,0.018230362418762525
Residential,2490,91,8,25.03,Weekday,2619.36,2619.3503342688996,0.009665731100540143
Residential,23390,50,23,23.8,Weekend,3510.52,3510.4990767774225,0.020923222577494016
Commercial,3593,88,41,22.27,Weekend,3768.3,3768.3003310870345,-0.00033108703428297304
Residential,40787,35,4,13.99,Weekday,3949.4,3949.4006714778716,-0.0006714778714922431
Industrial,37880,34,11,11.92,Weekday,4944.4,4944.401403991453,-0.0014039914531167597
